Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Šolska cesta 2,ŠKOFJA LOKA,"2,64",2591,"5,33",GARAČ - RESTAVRACIJA &quot;M&quot;
Gosposvetska cesta 83,MARIBOR,"0,44",2650,"3,13",GOSPOSVETSKA
Šmihel 14,NOVO MESTO,"3,64",2949,"6,33",GOSTILNA BUČAR
Cesta zmage 34,ZAGORJE OB SAVI,"3,31",2947,"6,00",GOSTILNA ČUK
Njegoševa 6 K,LJUBLJANA,"4,31",2161,"7,00",GOSTILNA IN PICERIJA PAVON
Jurčkova cesta 7,LJUBLJANA,"3,31",2982,"6,00",GOSTILNA IN PIZZERIA JURČEK
Dolenjska cesta 103,LJUBLJANA,"3,51",2594,"6,20",GOSTILNA JAKA
Jurčkova cesta 99,LJUBLJANA,"2,44",2943,"5,13",GOSTILNA JERINČEK
Trg Svobode 4,RAVNE NA KOROŠKEM,"3,31",1988,"6,00",GOSTILNA LEČNIK
Ormoška cesta 18,PTUJ,"2,34",2547,"5,03",GOSTILNA LUŽNIK 
Oplotniška cesta 5,SLOVENSKE KONJICE,"0,94",2543,"3,63",GOSTILNA POD ŠKALCAMI
Oplotniška cesta 5,SLOVENSKE KONJICE,"0,94",2346,"3,63",GOSTILNA POD ŠKALCAMI - DOSTAVA
Brezina 19/b,BREŽICE,"2,91",1860,"5,60",GOSTILNA RACMAN
Goliev trg 8,TREBNJE,"3,44",1375,"6,13",GOSTILNA ŠELIGO
Vodnikov trg 4,MARIBOR,"2,34",1123,"5,03",GOSTILNA ZLATI LEV
Vodnikov trg 4,MARIBOR,"2,74",1124,"5,43",GOSTILNA ZLATI LEV - DOSTAVA
Osojnikova 20a,MARIBOR,"4,24",2513,"6,93",GOSTILNICA &amp; PICERIJA POBREŠKI HRAM
"Rožna dolina, Cesta I. 26A",LJUBLJANA,"3,94",2834,"6,63",GOSTILNICA IN PIVNICA KATRCA
Jurčkova 225,LJUBLJANA,"3,94",1834,"6,63",GOSTILNICA IN PIZZERIJA KRATOCHWILL
Šmartinska 152,LJUBLJANA,"3,94",1835,"6,63",GOSTILNICA IN PIZZERIJA KRATOCHWILL
Slivniška cesta 6,HOČE,"2,44",2968,"5,13",GOSTINSKE STORITVE MICHEL TOŠ S.P.
Slivniška cesta 6,HOČE,"2,94",2969,"5,63",GOSTINSKE STORITVE MICHEL TOŠ S.P. - DOSTAVA
Prešernova cesta 1,ZAGORJE OB SAVI,"3,11",1849,"5,80",GOSTIŠČE KUM
Glavni trg 30,NOVO MESTO,"2,71",1847,"5,40",GOSTIŠČE NA TRGU - HIŠA KULINARIKE
